 縣市,營利事業營業家數,營利事業銷售額,公司登記現有家數,公司登記現有資本額,商業登記現有家數,商業登記現有資本額
 新北市,223983,4962840383,134856,2262249,140598,25432
 臺北市,232324,13219276916,179519,12474685,58004,11888
 臺中市,192022,4259595905,98980,1717911,111511,20095
 桃園市,115585,3766578141,60087,1497002,54499,13369
 高雄市,164264,4810932900,86610,2077854,120241,25392
 臺南市,111731,2400772339,37358,912472,67043,13082
 彰化縣,71851,1444890717,27074,460578,36832,8085
 新竹縣,28462,1189814781,12736,565879,16890,3150
 新竹市,26730,2329059841,11811,1083655,19572,3280
 屏東縣,39515,425253058,7351,104507,30079,5709
 苗栗縣,26661,804365297,7323,286763,32892,4614
 基隆市,18390,177148330,5957,71912,11967,2688
 雲林縣,31256,1478284851,7157,265468,22834,6552
 宜蘭縣,26989,287234605,6074,88414,24427,5012
 南投縣,25378,286206237,5371,90349,28487,5535
 嘉義縣,21208,313145862,4774,70493,18020,3234
 花蓮縣,20443,191496669,3664,77094,18958,4776
 嘉義市,17625,223673257,4799,58750,12791,2957
 臺東縣,13191,76100432,1434,16771,18172,2378
 澎湖縣,6392,34329496,827,11502,6228,940
 金門縣,19466,60941919,1284,23635,18228,1786
 連江縣,1000,5424782,188,1787,906,343